Date,PriceChange,VolumeChange
1/1/00,0,0
1/3/00,0,0
1/4/00,-3.834466824,8.285039708
1/5/00,0.19221827,7.581764123
1/6/00,0.095567824,0.626439429
1/7/00,2.709039961,12.16698709
1/10/00,1.118996949,-13.09174012
1/11/00,-1.306251188,-4.770848986
1/12/00,-0.438637161,-3.885601578
1/13/00,1.216970082,5.725425816
1/14/00,1.067129948,5.386257764
1/17/00,0,0
1/18/00,-0.683207101,-2.689013721
1/19/00,0.052229269,2.943124823
1/20/00,-0.709532099,1.185879757
1/21/00,-0.291231912,9.911874262
1/24/00,-2.763359356,-7.769879319
1/25/00,0.606480049,-3.773077612
1/26/00,-0.421272092,4.060724597
1/27/00,-0.393842783,1.091918017
1/28/00,-2.745682944,-2.983621071
1/31/00,2.521756716,-9.308267932
2/1/00,1.062781895,-1.28798551
2/2/00,-0.011355728,5.871559633
2/3/00,1.124813788,10.38898517
2/4/00,-0.042104466,-8.844308766
2/7/00,-0.009127193,-12.15194718
2/8/00,1.227319913,14.11610936
2/9/00,-2.081542228,0.267252076
2/10/00,0.362680376,0.790099952
2/11/00,-2.096932019,-3.126180582
2/14/00,0.203295029,-9.593448377
2/15/00,0.871268437,17.77202631
2/16/00,-1.025641346,-6.711839575
2/17/00,0.042514862,1.570475069
2/18/00,-3.03761858,0.724777735
2/21/00,0,0
2/22/00,0.451684371,-5.977165883
2/23/00,0.630090649,1.397959184
2/24/00,-0.533544548,22.27030291
2/25/00,-1.482904044,-12.32921811
2/28/00,1.101732778,-3.633120541
2/29/00,1.362708678,17.32099367
3/1/00,0.934551352,5.795898032
3/2/00,0.186346269,-5.925751511
3/3/00,1.983704392,-4.029701318
3/6/00,-1.26954267,-10.5450752
3/7/00,-2.563109745,27.70651118
3/8/00,0.817334949,-8.454455521
3/9/00,2.560180819,-6.650041563
3/10/00,-0.472286688,1.406945681
3/13/00,-0.820743865,-10.77449947
3/14/00,-1.768547079,7.666568251
3/15/00,2.427251622,19.08592322
3/16/00,4.764603796,13.77801658
3/17/00,0.411390026,-12.62902247
3/20/00,-0.535344948,-28.90124315
3/21/00,2.556585397,15.75803649
3/22/00,0.453186691,0.853738625
3/23/00,1.779904623,0.306976744
3/24/00,0.007201035,-2.420476676
3/27/00,-0.235683821,-14.36989166
3/28/00,-1.058496526,6.448390677
3/29/00,0.052399303,10.71838182
3/30/00,-1.365575248,12.3834636
3/31/00,0.716430432,2.849002849
4/3/00,0.493134515,-16.75900277
4/4/00,-0.746362226,48.32729764
4/5/00,-0.492395623,-26.73511673
4/6/00,0.939239802,-9.21372602
4/7/00,0.999774224,-11.54761905
4/10/00,-0.784120763,-4.250785105
4/11/00,-0.257234828,13.78704463
4/12/00,-2.22711885,21.05208977
4/13/00,-1.817105939,-12.23743516
4/14/00,-5.827793658,24.00193798
4/17/00,3.308359383,-5.860748613
4/18/00,2.866340742,-7.910683158
4/19/00,-0.980848783,-9.734991888
4/20/00,0.495286636,-10.50529259
4/21/00,0,0
4/24/00,-0.326240737,-3.068511493
4/25/00,3.327595464,23.29918269
4/26/00,-1.113409117,-6.67538045
4/27/00,0.268999379,11.14445778
4/28/00,-0.852605577,-11.37713771
5/1/00,1.08920536,-1.858622791
5/2/00,-1.49565544,4.677636345
5/3/00,-2.15655658,-1.967375185
5/4/00,-0.39078723,-6.635740218
5/5/00,1.635964151,-12.99416721
5/8/00,-0.590519602,-2.222222222
5/9/00,-0.844704539,13.83951244
5/10/00,-2.059991622,12.24626366
5/11/00,1.790246855,-5.246422893
5/12/00,0.93406791,-10.00419463
5/15/00,2.209775424,-0.419482638
5/16/00,0.941918955,11.80669319
5/17/00,-1.244167247,-14.12872841
5/18/00,-0.731460674,-1.535648995
5/19/00,-2.105468987,5.669018443
5/22/00,-0.442800399,1.792198665
5/23/00,-1.917584282,0.103567319
5/24/00,1.833524833,32.46350155
5/25/00,-1.252995131,-14.56217999
5/26/00,-0.253344139,-26.60233621
5/29/00,0,0
5/30/00,3.224186177,16.82812068
5/31/00,-0.130055542,13.77635631
6/1/00,1.985786532,-0.041644977
6/2/00,1.963677076,21.0707218
6/5/00,-0.651882873,-27.85615967
6/6/00,-0.667064517,13.29596947
6/7/00,0.927400765,-10.05157352
6/8/00,-0.658570377,-0.035104142
6/9/00,-0.322924659,-7.994849584
6/12/00,-0.751566723,-1.513994911
6/13/00,1.621019433,20.90169229
6/14/00,0.074865122,-0.662463938
6/15/00,0.556934241,8.787781005
6/16/00,-0.965018576,23.67016017
6/19/00,1.470852026,-26.31116086
6/20/00,-0.676315545,11.91276988
6/21/00,0.215458119,-2.123121667
6/22/00,-1.822013678,1.297543582
6/23/00,-0.736828327,-17.12134546
6/26/00,0.959436079,4.884379424
6/27/00,-0.327078753,17.26659168
6/28/00,0.29436399,5.045563549
6/29/00,-0.854396521,1.442790613
6/30/00,0.84650898,31.39796561
7/3/00,1.027090832,-69.04158389
7/4/00,0,0
7/5/00,-1.586214624,125.5587519
7/6/00,0.721881315,-7.063671147
7/7/00,1.526082045,-1.646785601
7/10/00,-0.22178842,-9.981753783
7/11/00,0.356461014,16.90711816
7/12/00,0.813032721,2.111167772
7/13/00,0.19558462,2.556931682
7/14/00,0.945289224,-6.447214647
7/17/00,0.033775944,-5.683947533
7/18/00,-1.108911685,0.253863135
7/19/00,-0.788626473,0.121105362
7/20/00,0.918377376,17.06619749
7/21/00,-1.028370826,-9.045650949
7/24/00,-1.074179844,-9.088092533
7/25/00,0.695212815,10.12154947
7/26/00,-1.495447682,27.48091603
7/27/00,-0.19278507,-6.424987862
7/28/00,-2.050880928,-15.25423729
7/31/00,0.770478057,-2.795918367
8/1/00,0.508098113,-1.459164392
8/2/00,0.041719978,5.944391179
8/3/00,0.963377248,10.16591252
8/4/00,0.713911617,-12.7418766
8/7/00,1.120346934,-10.58577406
8/8/00,0.235250191,16.07393542
8/9/00,-0.669682605,6.228582947
8/10/00,-0.856830205,-10.74003795
8/11/00,0.793697381,-11.19260204
8/14/00,1.339825895,-6.18791143
8/15/00,-0.478023326,14.30211789
8/16/00,-0.30854118,3.783904454
8/17/00,1.096055023,-0.79587008
8/18/00,-0.290760135,-10.94969644
8/21/00,0.520205478,-10.93255418
8/22/00,-0.090029545,11.91908147
8/23/00,0.5233168,6.375183195
8/24/00,0.155387428,-3.892078071
8/25/00,-0.12332398,-18.09819615
8/28/00,0.507153589,7.001166861
8/29/00,-0.280696662,8.451472192
8/30/00,-0.480183341,2.865761689
8/31/00,1.004271847,29.10557185
9/1/00,0.203597984,-27.34241908
9/4/00,0,0
9/5/00,-0.900206068,9.222352481
9/6/00,-0.984019192,18.67620751
