Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange,frac
1/3/00,1469.25,1478,1438.359985,1455.219971,1455.219971,931800000,0,0,0.595541943
1/4/00,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,1009000000,-3.834466824,8.285039708,0
1/5/00,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,1085500000,0.19221827,7.581764123,0.989693985
1/6/00,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1092300000,0.095567824,0.626439429,0.698236166
1/7/00,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,1225200000,2.709039961,12.16698709,2.709039961
1/10/00,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,1064800000,1.118996949,-13.09174012,1.587963292
1/11/00,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,1014000000,-1.306251188,-4.770848986,0.072726264
1/12/00,1438.560059,1442.599976,1427.079956,1432.25,1432.25,974600000,-0.438637161,-3.885601578,0.280830611
1/13/00,1432.25,1454.199951,1432.25,1449.680054,1449.680054,1030400000,1.216970082,5.725425816,1.532550253
1/14/00,1449.680054,1473,1449.680054,1465.150024,1465.150024,1085900000,1.067129948,5.386257764,1.608627085
1/18/00,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,1056700000,-0.683207101,-2.689013721,0
1/19/00,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,1087800000,0.052229269,2.943124823,0.429511933
1/20/00,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,1100700000,-0.709532099,1.185879757,0.673805676
1/21/00,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,1209800000,-0.291231912,9.911874262,0.52644343
1/24/00,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,1115800000,-2.763359356,-7.769879319,0.883192341
1/25/00,1401.530029,1414.26001,1388.48999,1410.030029,1410.030029,1073700000,0.606480049,-3.773077612,0.908291705
1/26/00,1410.030029,1412.72998,1400.160034,1404.089966,1404.089966,1117300000,-0.421272092,4.060724597,0.191481809
1/27/00,1404.089966,1418.859985,1370.98999,1398.560059,1398.560059,1129500000,-0.393842783,1.091918017,1.051928249
1/28/00,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,1095800000,-2.745682944,-2.983621071,0
1/31/00,1360.160034,1394.47998,1350.140015,1394.459961,1394.459961,993800000,2.521756716,-9.308267932,2.523228528
2/1/00,1394.459961,1412.48999,1384.790039,1409.280029,1409.280029,981000000,1.062781895,-1.28798551,1.29297574
2/2/00,1409.280029,1420.609985,1403.48999,1409.119995,1409.119995,1038600000,-0.011355728,5.871559633,0.803953492
2/3/00,1409.119995,1425.780029,1398.52002,1424.969971,1424.969971,1146500000,1.124813788,10.38898517,1.182300589
2/4/00,1424.969971,1435.910034,1420.630005,1424.369995,1424.369995,1045100000,-0.042104466,-8.844308766,0.767739898
2/7/00,1424.369995,1427.150024,1413.329956,1424.23999,1424.23999,918100000,-0.009127193,-12.15194718,0.195176043
2/8/00,1424.23999,1441.829956,1424.23999,1441.719971,1441.719971,1047700000,1.227319913,14.11610936,1.235042277
2/9/00,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,1050500000,-2.081542228,0.267252076,0.19629873
2/10/00,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,1058800000,0.362680376,0.790099952,0.736702229
2/11/00,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,1025700000,-2.096932019,-3.126180582,0
2/14/00,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,927300000,0.203295029,-9.593448377,0.563041339
2/15/00,1389.939941,1407.719971,1376.25,1402.050049,1402.050049,1092100000,0.871268437,17.77202631,1.27919412
2/16/00,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,1018800000,-1.025641346,-6.711839575,0.178310325
2/17/00,1387.670044,1399.880005,1380.069946,1388.26001,1388.26001,1034800000,0.042514862,1.570475069,0.879889355
2/18/00,1388.26001,1388.589966,1345.319946,1346.089966,1346.089966,1042300000,-3.03761858,0.724777735,0.023767594
2/22/00,1346.089966,1358.109985,1331.880005,1352.170044,1352.170044,980000000,0.451684371,-5.977165883,0.892958071
2/23/00,1352.170044,1370.109985,1342.439941,1360.689941,1360.689941,993700000,0.630090649,1.397959184,1.326751845
2/24/00,1360.689941,1364.800049,1329.880005,1353.430054,1353.430054,1215000000,-0.533544548,22.27030291,0.302060585
