Date,PriceChange,VolumeChange
1/1/95,0.0,0.0
1/2/95,0.0,0.0
1/3/95,-0.034838767,2.415515492
1/4/95,0.348501678,21.74128405
1/5/95,-0.08030974099999999,-3.27376295
1/6/95,0.073857801,-0.317100793
1/9/95,0.032559261,-9.504333431000001
1/10/95,0.18445110399999998,26.42132071
1/11/95,-0.004329622,-1.742091077
1/12/95,-0.00432981,-9.606999509
1/13/95,0.937957252,7.570917455
1/16/95,0.7318076259999999,-6.215477817000001
1/17/95,0.142737865,4.97450999
1/18/95,-0.072332094,3.963561776
1/19/95,-0.587592143,-13.76428944
1/20/95,-0.464720622,27.24244667
1/23/95,0.223763501,-13.84489278
1/24/95,0.008582285,-3.19184851
1/25/95,0.33916134700000006,8.616808801
1/26/95,0.188260525,-11.05630309
1/27/95,0.44200716799999995,11.41338234
1/30/95,-0.39966941,-6.1736031339999995
1/31/95,0.40767602799999997,29.20734579
2/1/95,-0.004255559,-3.955392502
2/2/95,0.508081427,-18.51711315
2/3/95,1.239447723,36.90975133
2/6/95,0.520217493,-26.15419501
2/7/95,-0.068590637,-3.377755942
2/8/95,0.07903413,1.198118604
2/9/95,-0.207818117,2.242251044
2/10/95,0.26447635199999997,-9.205393617
2/13/95,0.039463923,-13.30514208
2/14/95,0.18685643300000002,17.34498771
2/15/95,0.41239686,25.71162543
2/16/95,0.140337637,-4.510104751
2/17/95,-0.669799265,-3.6067481089999998
2/20/95,0.0,0.0
2/21/95,0.155611345,-11.46075811
2/22/95,0.48682590200000003,10.18208965
2/23/95,0.37932607100000004,16.14917811
2/24/95,0.246448212,-23.16881404
2/27/95,-0.88094633,-5.658072822
2/28/95,0.739963418,10.99758564
3/1/95,-0.357007929,14.30552929
3/2/95,-0.107070731,-8.982349697
3/3/95,0.05977944,0.245432233
3/6/95,0.043259856,-9.663281344
3/7/95,-0.7227745329999999,18.96476729
3/8/95,0.211569736,-1.622837857
3/9/95,0.00413731,-8.708330951
3/10/95,1.326683282,19.92358762
3/13/95,0.09804134099999999,-28.11406487
3/14/95,0.579538225,25.74832897
3/15/95,-0.204915898,-10.57892304
3/16/95,0.717654502,8.764618466
3/17/95,0.022200802999999998,23.97302997
3/20/95,0.125126335,-27.70616704
3/21/95,-0.215666539,21.66434679
3/22/95,0.12119619300000001,-14.70676364
3/23/95,0.056488993,1.7277721000000001
3/24/95,1.012196568,12.50745613
3/27/95,0.44513863,-17.32845941
3/28/95,0.139106118,8.131096635
3/29/95,-0.15479242099999999,20.47072044
3/30/95,-0.178882575,-5.959475566
3/31/95,-0.300667038,-2.722213038
4/3/95,0.22767969899999999,-16.03976661
4/4/95,0.6754974509999999,11.52042641
4/5/95,0.06531886,-4.661504023
4/6/95,0.100872281,1.6784592440000001
4/7/95,0.067188193,-1.778693129
