Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
1/2/80,107.940002,108.43,105.290001,105.760002,105.760002,40610000,0,0
1/3/80,105.760002,106.080002,103.260002,105.220001,105.220001,50480000,-0.510590951,24.30435853
1/4/80,105.220001,107.080002,105.089996,106.519997,106.519997,39130000,1.235502744,-22.48415214
1/7/80,106.519997,107.800003,105.800003,106.809998,106.809998,44500000,0.272250289,13.72348582
1/8/80,106.809998,109.290001,106.290001,108.949997,108.949997,53390000,2.003556821,19.97752809
1/9/80,108.949997,111.089996,108.410004,109.050003,109.050003,65260000,0.091790732,22.23262783
1/10/80,109.050003,110.860001,108.470001,109.889999,109.889999,55980000,0.770285169,-14.22004291
1/11/80,109.889999,111.160004,108.889999,109.919998,109.919998,52890000,0.027299118,-5.51982851
1/14/80,109.919998,111.440002,109.339996,110.379997,110.379997,52930000,0.41848527,0.075628663
1/15/80,110.379997,111.93,109.449997,111.139999,111.139999,52320000,0.688532362,-1.15246552
1/16/80,111.139999,112.900002,110.379997,111.050003,111.050003,67700000,-0.080975347,29.39602446
1/17/80,111.050003,112.010002,109.809998,110.699997,110.699997,54170000,-0.31517874,-19.98522895
1/18/80,110.699997,111.739998,109.879997,111.07,111.07,47150000,0.334239395,-12.95920251
1/21/80,111.07,112.900002,110.660004,112.099998,112.099998,48040000,0.927341316,1.887592789
1/22/80,112.099998,113.099998,110.919998,111.510002,111.510002,50620000,-0.526312231,5.370524563
1/23/80,111.510002,113.93,110.93,113.440002,113.440002,50730000,1.730786446,0.217305413
1/24/80,113.440002,115.269997,112.949997,113.699997,113.699997,59070000,0.229191639,16.43997635
1/25/80,113.699997,114.449997,112.360001,113.610001,113.610001,47100000,-0.079152157,-20.26409345
1/28/80,113.610001,115.650002,112.93,114.849998,114.849998,53620000,1.091450567,13.84288747
1/29/80,114.849998,115.769997,113.029999,114.07,114.07,55480000,-0.679144984,3.468854905
1/30/80,114.07,115.849998,113.370003,115.199997,115.199997,51170000,0.990617165,-7.768565249
1/31/80,115.199997,117.169998,113.779999,114.160004,114.160004,65900000,-0.902771725,28.78639828
2/1/80,114.160004,115.540001,113.129997,115.120003,115.120003,46610000,0.840924112,-29.27162367
2/4/80,115.120003,116.010002,113.830002,114.370003,114.370003,43070000,-0.651494076,-7.594936709
2/5/80,114.370003,115.25,112.150002,114.660004,114.660004,41880000,0.253563865,-2.762944045
2/6/80,114.660004,116.57,113.650002,115.720001,115.720001,51950000,0.924469704,24.04489016
2/7/80,115.720001,117.870003,115.220001,116.279999,116.279999,57690000,0.483924987,11.04908566
2/8/80,116.279999,118.660004,115.720001,117.949997,117.949997,57860000,1.436186803,0.294678454
2/11/80,117.949997,119.050003,116.309998,117.120003,117.120003,58660000,-0.703682934,1.38264777
2/12/80,117.120003,118.410004,115.75,117.900002,117.900002,48090000,0.665982736,-18.01909308
2/13/80,117.900002,120.220001,117.57,118.440002,118.440002,65230000,0.458015259,35.64150551
2/14/80,118.440002,119.300003,116.040001,116.720001,116.720001,50540000,-1.45221291,-22.52031274
2/15/80,116.699997,116.699997,114.120003,115.410004,115.410004,46680000,-1.122341491,-7.63751484
2/19/80,115.410004,115.669998,113.349998,114.599998,114.599998,39480000,-0.701850769,-15.42416452
2/20/80,114.599998,117.18,114.059998,116.470001,116.470001,44340000,1.631765299,12.3100304
2/21/80,116.470001,117.900002,114.440002,115.279999,115.279999,51530000,-1.02172404,16.21560668
2/22/80,115.279999,116.459999,113.43,115.040001,115.040001,48210000,-0.208187025,-6.442848826
2/25/80,114.93,114.93,112.620003,113.330002,113.330002,39140000,-1.486438617,-18.81352417
2/26/80,113.330002,114.760002,112.300003,113.980003,113.980003,40000000,0.573547153,2.197240675
2/27/80,113.980003,115.120003,111.910004,112.379997,112.379997,46430000,-1.403760272,16.075
2/28/80,112.379997,113.699997,111.330002,112.349998,112.349998,40330000,-0.026694252,-13.13805729
2/29/80,112.349998,114.120003,111.769997,113.660004,113.660004,38810000,1.166004471,-3.768906521
3/3/80,113.660004,114.339996,112.010002,112.5,112.5,38690000,-1.020591201,-0.30919866
3/4/80,112.5,113.410004,110.830002,112.779999,112.779999,44310000,0.248888,14.52571724
3/5/80,112.779999,113.940002,110.580002,111.129997,111.129997,49240000,-1.463027145,11.12615662
3/6/80,111.129997,111.290001,107.849998,108.650002,108.650002,49610000,-2.231616186,0.751421608
3/7/80,108.650002,108.959999,105.989998,106.900002,106.900002,50950000,-1.610676454,2.701068333
3/10/80,106.900002,107.860001,104.919998,106.510002,106.510002,43750000,-0.364826934,-14.13150147
3/11/80,106.510002,108.540001,106.18,107.779999,107.779999,41350000,1.192373464,-5.485714286
3/12/80,107.779999,108.400002,105.419998,106.870003,106.870003,37990000,-0.844308785,-8.125755744
